KECAMATAN,AKTA LAHIR,REKAM KTP,CETAK KTP,KIA
SAWAHAN,24212,8854,10257,5552
NGETOS,25040,9591,10885,7821
BERBEK,35865,14635,17704,10683
LOCERET,48424,18466,22305,13711
PACE,42299,16222,19679,10500
PRAMBON,46932,17934,22656,14024
NGRONGGOT,58622,21754,27171,17569
KERTOSONO,33841,13679,17221,11528
PATIANROWO,27263,10936,13688,7229
BARON,34460,13899,16900,9656
TANJUNGANOM,68317,27707,33093,18894
SUKOMORO,29113,11686,14010,8328
NGANJUK,37576,16642,19849,9329
BAGOR,38292,14877,17888,11867
WILANGAN,22839,7210,9137,5490
REJOSO,42960,16410,19809,12700
GONDANG,33371,13035,16487,6941
NGLUYU,9476,2639,3480,2021
LENGKONG,20982,7685,9760,5069
JATIKALEN,12282,4590,5731,2303
