KECAMATAN,AKTA LAHIR,REKAM KTP,CETAK KTP,KIA
SAWAHAN,24212,31034,29631,3037
NGETOS,25040,29823,28529,1421
BERBEK,35865,45917,42848,3657
LOCERET,48424,59671,55832,4274
PACE,42299,52505,49048,5334
PRAMBON,46932,57115,52393,3605
NGRONGGOT,58622,64805,59388,3439
KERTOSONO,33841,43381,39839,1804
PATIANROWO,27263,35106,32354,3466
BARON,34460,42359,39358,3853
TANJUNGANOM,71317,92404,86018,9113
SUKOMORO,29113,36730,34406,3270
NGANJUK,37576,53989,50782,7003
BAGOR,38292,48829,45818,2749
WILANGAN,22839,24304,22377,1559
REJOSO,42960,57503,54104,3445
GONDANG,33371,44453,41001,5838
NGLUYU,9476,11840,10999,585
LENGKONG,20982,26681,24606,2540
JATIKALEN,12282,16608,15467,2251
