KECAMATAN,AKTA LAHIR,REKAM KTP,CETAK KTP,KIA
SAWAHAN,15669,31034,29631,3037
NGETOS,14352,29823,28529,1421
BERBEK,24678,45917,42848,3657
LOCERET,29700,59671,55832,4274
PACE,26402,52505,49048,5334
PRAMBON,28055,57115,52393,3605
NGRONGGOT,27931,64805,59388,3439
KERTOSONO,23181,43381,39839,1804
PATIANROWO,18767,35106,32354,3466
BARON,21765,42359,39358,3853
TANJUNGANOM,49761,92404,86018,9113
SUKOMORO,19276,36730,34406,3270
NGANJUK,32971,53989,50782,7003
BAGOR,25383,48829,45818,2749
WILANGAN,8664,24304,22377,1559
REJOSO,30938,57503,54104,3445
GONDANG,24108,44453,41001,5838
NGLUYU,4985,11840,10999,585
LENGKONG,13362,26681,24606,2540
JATIKALEN,8887,16608,15467,2251
