;;;;;;;;;;;
;;;;;;;;;;;
Kabupaten/Kota;Gempa Bumi;Letusan Gunung Api;Tsunami;Tanah Longsor;Banjir;Banjir Bandang;Kekeringan;Kebakaran Hutan dan Lahan;Angin Puting Beliung;Gelombang Pasang;Abrasi
Kep. Seribu;-;-;-;-;-;-;-;-;-;-;-
Jakarta Selatan;-;-;-;-;4;7;-;-;-;-;-
Jakarta Timur;-;-;-;-;3;9;-;-;1;-;-
Jakarta Pusat;-;-;-;-;-;-;-;-;-;-;-
Jakarta Barat;-;-;-;-;-;5;-;-;-;-;-
Jakarta Utara;-;-;-;-;-;1;-;-;1;-;-
DKI Jakarta;-;-;-;-;14;20;-;-;16;-;-
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
