Kabupaten/Kota;Jumlah Kejadian Bencana Alam Menurut Kabupaten/Kota di Provinsi DKI Jakarta;;;;;;;;;;
;Gempa Bumi;Letusan Gunung Api;Tsunami;Tanah Longsor;Banjir;Banjir Bandang;Kekeringan;Kebakaran Hutan dan Lahan;Angin Puting Beliung;Gelombang Pasang;Abrasi
;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021
Kep. Seribu;-;-;-;-;-;-;-;-;-;-;-
Jakarta Selatan;-;-;-;-;4;7;-;-;-;-;-
Jakarta Timur;-;-;-;-;3;9;-;-;1;-;-
Jakarta Pusat;-;-;-;-;-;-;-;-;-;-;-
Jakarta Barat;-;-;-;-;-;5;-;-;-;-;-
Jakarta Utara;-;-;-;-;-;1;-;-;1;-;-
DKI Jakarta;-;-;-;-;14;20;-;-;16;-;-
;;;;;;;;;;;
Sumber/Source: Badan Nasional Penanggulangan Bencana/National Agency for Disaster Countermeasure;;;;;;;;;;;
Source Url: https://jakarta.bps.go.id/indicator/34/607/1/jumlah-kejadian-bencana-alam-menurut-kabupaten-kota-di-provinsi-dki-jakarta.html;;;;;;;;;;;
Access Time: November 19, 2023, 3:03 pm;;;;;;;;;;;
